7an	tujuan
poto	foto
penah	pernah
punyaku	milikku
punyamu	milikmu
puter	putar
qta	kita
rbu	ribu
rebo	rabu
rebutan	berebut
registrasi	pendaftaran
sabi	bisa
salfok	salah fokus
sblh	sebelah
sbr	sabar
sby	surabaya
sdah	sudah
seger	segar
segimana	berapa
sekale	sekali
semalem	semalam
seneng	senang
silahkan	silakan
simpen	simpan
sist	kakak perempuan
sista	kakak perempuan
skg	sekarang
skrg	sekarang
slain	selain
slalu	selalu
smg	semoga
smoga	semoga
smpai	sampai
smpat	sempat
smrg	semarang
spatu	sepatu
srbu	serbu
srgam	seragam
sitimewa	istimewa
stok	persediaan
sukak	suka
syantiek	cantik
syedih	sedih
syuka	suka
syusah	susah
takis	sikat
tancep	menancap
tangsel	tangeran selatan
tau	tahu
tauk	tahu
tebel	tebal
tengkyu	terima kasih
tenkyu	terima kasih
terimakasi	terima kasih
terimakasih	terima kasih
terkdang	terkadang
tetep	tetap
thnks	terima kasih
tjakeup	cakep
tkut	takut
tlong	tolong
tmpat	tempat
tnggu	tunggu
tnpa	tanpa
tnya	tanya
tnyt	ternyata
trbaru	terbaru
trimakasih	terima kasih
trimksh	terima kasih
trjangkau	terjangkau
trlalu	terlalu
ttip	titip
tuker	tukar
ucul	lucu
udaah	sudah
uga	juga
verapa	berapa
wadoh	aduh
waini	ini
wanjir	anjing
wqwq	tertawa
xantik	cantik
yaa	ya
yaah	kecewa
yah	kecewa
yak	ya
yeay	hore
yoi	iya
yok	ayo
yuhu	gembira
yukk	ayo
yuks	ayo
account	akun
advice	saran
almost	hampir
always	selalu
another	lainnya
available	tersedia
awesome	bagus
back	kembali
barter	bertukar
beautiful	cantik
booked	dipesan
booking	memesan
bring	bawa
broken	rusak
budget	anggaran
buyer	pembeli
cancel	batal
check	periksa
colors	warna
comment	komentar
contact	kontak
conversation	percakapan
cool	keren
cute	lucu
damn	sial
date	tanggal
day	hari
deep	dalam
double	ganda
down	turun
dusty	berdebu
edition	edisi
error	bermasalah
extra	berlebih
fast	cepat
favorite	favorit
fee	biaya
finally	akhirnya
flower	bunga
follow	ikuti
form	bentuk
friend	teman
friendly	bersahabat
game	permainan
gift	hadiah
giveaway	pemberian
good	bagus
grab	ambil
hand	tangan
happy	bahagia
help	tolong
hunt	berburu
instant	instan
last	terakhir
launch	luncur
left	kiri
like	suka
limit	batas
limited	terbatas
locked	terkunci
long	panjang
look	melihat
love	cinta
luck	beruntung
mad	marah
maybe	sepertinya
melody	melodi
message	pesan
money	uang
must	harus
need	butuh
needed	dibutuhkan
new	baru
nice	bagus
now	sekarang
office	kantor
only	hanya
overall	keseluruhan
owner	pemilik
payment	pembayaran
pending	tunda
perfect	sempurna
please	mohon
post	kiriman
price	harga
product	produk
ready	siap
release	melepaskan
repair	memperbaiki
repeat	ulang
request	meminta
respond	menganngapi
response	tanggapan
return	mengembalikan
run	lari
sad	sedih
save	simpan
search	cari
seller	penjual
serious	serius
service	layanan
shipment	pengiriman
shop	toko
simple	sederhana
sister	kakak perempuan
slow	pelan
sold	terjual
soon	segera
stock	persediaan
store	toko
success	sukses
support	dukungan
sweet	manis
time	waktu
today	hari ini
trusted	terpercaya
upload	unggah
user	pengguna
wait	tunggu
