no,Kalimat Awal,Kalimat Hasil Preproses,Label Awal,Label Exp1,,Label Exp2,,Label Exp3,,Label Exp4,
687,"@agrahouse di aku masih ada kia jeans, cek dm ya", _mentionteman_ kia jeans cek dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
688,Mau sis,kakak perempuan ,abaikan,abaikan,true,jawab,false,jawab,false,jawab,false
689,Dm apa yah 😆😆,dm kecewa _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
690,Ko blm dpt email dr vanilla ya aku?,ko email vanilla iya _tanda_tanya_ ,jawab,baca,false,jawab,true,jawab,true,jawab,true
691,@inggridcitra11 langsung slup mbasay #bantujawab, _mentionteman_ langsung slup mbasay _hashtag_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
692,"Yg punya keduanya, campina n rose blh dm...",campina rose dm _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
693,"Avail kia instan lipmatte, campina dan teal yaaa...pengiriman dr surabaya 😘😘😘",avail kia instan lipmatte campina teal iya _tanda_titik_ pengiriman _daerah_ _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
694,Telat😂😂😂😂😂😂,terlambat _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
695,Yg nyari wrna ini aku ada 😚,mencari wrna _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
696,@tiafauziah aku ada mb rose, _mentionteman_ mb rose ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
697,Mau bajunya dong,bajunya ,baca,baca,true,baca,true,baca,true,baca,true
698,udh mantengi 1 jam sblm lauching ttp aja kia instant nya ngak dapet 😢😢😢😢,mantengi _angka_ jam lauching kia instan nya ngak _emot_neg_ _emot_neg_ _emot_neg_ _emot_neg_ ,baca,baca,true,baca,true,baca,true,baca,true
699,Memang blm jodohnya dpt kia instant 😢,jodohnya kia instan _emot_neg_ ,baca,baca,true,abaikan,false,abaikan,false,abaikan,false
700,tas seratus ribuan aja di sini 😘,tas seratus ribuan _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
701,Warnanya apa ajh sist ? @vanillahijab,warnanya kakak perempuan _tanda_tanya_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
702,@selvii_wd, _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
703,@noviekurnayanti ga iktan mba... ikutnya yg challenge nya tas doraemon dan Alhamdulillah menang ☺️☺️, _mentionteman_ iktan kakak perempuan _tanda_titik_ ikutnya challenge nya tas doraemon alhamdulillah menang \ _angka_ a\ufe _angka_ f\u _angka_ a\ufe _angka_ f ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
704,Baju nya kapan @inne_vanillahijab,baju nya _mentionteman_ ,abaikan,jawab,false,abaikan,true,abaikan,true,abaikan,true
705,"Saya ada bobow pants machiato dan dark grey size s, minat bisa dm/line ya, kirim dari jogja, bisa pakai shopee, thx",bobow pants machiato dark grey ukuran s minat dm line iya kirim jogja pakai shopee terima kasih ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
706,Ready CACAOTE 😆😆,cacaote _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
707,Q ada oliv . jeans. Campina. Yg minat dm ya mbasay..,q oliv _tanda_titik_ jeans _tanda_titik_ campina _tanda_titik_ minat dm iya mbasay _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
708,masih ada kia lipmatte(2pcs) free ongkir via shoope😊😊,kia lipmatte ( _angka_ pcs ) free ongkos kirim via shoope _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
709,Ready kia instan (hampir) semua warna. Dm ya buat yang berminat ^^,kia instan ( ) warna _tanda_titik_ dm iya berminat ^^ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
710,@iskandarammy masih ada kia instan fuchia kak kalo minat ☺, _mentionteman_ kia instan fuchia kak minat \ _angka_ a ,abaikan,jawab,false,abaikan,true,abaikan,true,abaikan,true
711,Ship to Malaysia x?,ship to malaysia x _tanda_tanya_ ,abaikan,baca,false,jawab,false,jawab,false,abaikan,true
712,"Yg jual kia instant fuschia info dong, thx",jual kia instan fuschia informasi terima kasih ,abaikan,abaikan,true,baca,false,baca,false,jawab,false
713,Yg punya jeans dan olive dm yah (via shoppe),jeans olive dm kecewa ( via shoppe ) ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
714,"@wulanariela sy ada kia instan fushia mb,,cek dm ya", _mentionteman_ kia instan fushia mb cek dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
715,"Kia rose, gading,campina, biyan, rouge yuk cek ig 😚",kia rose gading campina biyan rouge ayo cek ig _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
716,Ada yang punya kia instan warna rouge gak? Via sophee,kia instan warna rouge _tanda_tanya_ via sophee ,abaikan,abaikan,true,jawab,false,jawab,false,jawab,false
717,@mumuqueenn warna rouge masih? Via shopee gak?, _mentionteman_ warna rouge _tanda_tanya_ via shopee _tanda_tanya_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
718,@dwisophie msih mbaa . bsa via shopee, _mentionteman_ msih mbaa _tanda_titik_ via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
719,@mumuqueenn aku DM mba, _mentionteman_ dm kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
720,@fadila_ ak dm ya mb😄, _mentionteman_ dm iya mb _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
721,"Kia instan lipmatte, rose, cacaote, campina, jeans, n biyan msh ada di kita, yuk cek ig.. Pengiriman dr tangerang..",kia instan lipmatte rose cacaote campina jeans biyan ayo cek ig _tanda_titik_ pengiriman _daerah_ _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
722,Ada yg pny kia instan wrna jeans ga?,kia instan wrna jeans _tanda_tanya_ ,abaikan,abaikan,true,jawab,false,jawab,false,jawab,false
723,Masih ada yg punya kia instan? Saya mau yaaa warna apa aja terserah,kia instan _tanda_tanya_ iya warna terserah ,abaikan,jawab,false,jawab,false,jawab,false,abaikan,true
724,@eightninehijab saya mau yg warna jeans bisa?, _mentionteman_ warna jeans _tanda_tanya_ ,abaikan,jawab,false,abaikan,true,abaikan,true,jawab,false
725,Cek DM ya Mba @soraya.dindra 😊,cek dm iya kakak perempuan _mentionteman_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
726,"@vivi_ria aku aku ada say,cek DM yaa.. 🙏😊", _mentionteman_ sayang cek dm iya _tanda_titik_ _emot_netral_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
727,@soraya.dindra sy ada warna fushia ma cacaote mb..sp tau minat, _mentionteman_ warna fushia ma cacaote mb _tanda_titik_ sp minat ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
728,"Ada yg pnya biyan,rose dan campina??",pnya biyan rose campina _tanda_tanya_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
729,"avail bobow pants Machiato S, yg mau dm yah, bisa shopee juga 😘",avail bobow pants machiato s dm kecewa shopee _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
730,"Avail kia instan campina, yang minat langsung dm aja yaa 😉",avail kia instan campina minat langsung dm iya _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
731,Ada yang masih punya kia jeans n biyan? Mauuu,kia jeans biyan _tanda_tanya_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
732,BOBOW pantsnyaa READY yaah for booked 😇😇,bobow pantsnyaa kecewa for dipesan _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
733,@widyaiyumz kami ada kak, _mentionteman_ kak ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
734,Last stock KIA Lipmate only 73rb 😘,persediaan kia lipmate _angka_ ribu _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
735,Free Lipmate Wardah setiap pembelian bowbow atau kia instan di kami 🎶,free lipmate wardah pembelian bowbow kia instan _emot_netral_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
736,"Ka admin mau kardigannya dong , kapan launcing nihh.. @vanillahijab @vanillaforfashion",kakak admin kardigannya launcing nihh _tanda_titik_ _mentionpemilik_ _mentionteman_ ,jawab,jawab,true,abaikan,false,abaikan,false,abaikan,false
737,Ada yg punya kia rose dm ya,kia rose dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
738,Fushia olive n rouge masih ada di kita bs free ongkir via shopee,fushia olive rouge free ongkos kirim via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
739,Mau kia biyan Dm donk,kia biyan dm ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
740,Mau kia biyan Dm donk,kia biyan dm ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
741,"Yg masih mau KIA teal, rouge, lipmatte yuks DM sist",kia teal rouge lipmatte ayo dm kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
742,"Yang minat rouge dan olive, pengiriman jakarta timur,harga 80, bisa cek langsung di IG,thanks😊",minat rouge olive pengiriman _daerah_ timur harga _angka_ cek langsung ig terima kasih _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
743,"Kia instan bs free ongkir via shopee, cek ig yah dear 😊",kia instan free ongkos kirim via shopee cek ig kecewa dear _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
744,@aiu_devitasari aku ada campina kak..:), _mentionteman_ campina kak _tanda_titik_ :) ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
745,@soraya.dindra aku ada kia instan campina kak..siapa tau minat :), _mentionteman_ kia instan campina kak _tanda_titik_ minat :) ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
746,Kia instant olive dan fuschia masih ready yaa..barangkali berminat😊,kia instan olive fuschia iya _tanda_titik_ barangkali berminat _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
747,"Kia Rouge,Olive,Campina,Frozen,Cacaote,Fuschia,Gading,Lipmatte,Biyan free ongkir via Shopee....cek ig ya dear 😊",kia rouge olive campina frozen cacaote fuschia gading lipmatte biyan free ongkos kirim via shopee _tanda_titik_ cek ig iya dear _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
748,Plissss restock lagii kia instanya @vanillahijab,mohon restock lagii kia instanya _mentionpemilik_ ,baca,baca,true,baca,true,baca,true,jawab,false
749,blouse adem cuma 89.000 aja 😉,blouse adem _angka_ _tanda_titik_ _angka_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
750,"@nanda_najwa7 yg cari kia gading,fushia,frozen bs dm ya😊", _mentionteman_ cari kia gading fushia frozen dm iya _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
751,Mau dong yang kia olive daerah jkt,kia olive daerah _daerah_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
752,Avail kia instan teal campina lipmatte 80k,avail kia instan teal campina lipmatte _angka_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
753,"@desi_widiyani saya ada Kia olive mbak, bisa freeongkir 😊", _mentionteman_ kia olive mbak freeongkir _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
754,Via shopee ya sis @khalisha_sisters pengiriman drmn? hrganya brp?,via shopee iya kakak perempuan _mentionteman_ pengiriman darimana _tanda_tanya_ hrganya _tanda_tanya_ ,abaikan,jawab,false,jawab,false,jawab,false,abaikan,true
755,@desi_widiyani dm y mbak, _mentionteman_ dm mbak ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
756,Lipmate n fushia avail cek ig kita sis,lipmate fushia avail cek ig kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
757,yg masih punya kia instan jeans ato frozen dm ya :),kia instan jeans frozen dm iya :) ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
758,@malinaabiputra saya dm y mbak 😊, _mentionteman_ dm mbak _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
759,Kia instan ready smua warna n bs free ongkir pakai shopee. Follow @rumahijabeeka 😍 Limited yaa dear siapa cpt dia dpt @desi_widiyani @nanda_najwa7,kia instan warna free ongkos kirim pakai shopee _tanda_titik_ ikuti _mentionteman_ _emot_pos_ terbatas iya dear cepat _mentionteman_ _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
760,"Masih ready nih gading dn fuschia, minat dm ya",gading dn fuschia minat dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
761,Udh kehabisan lagi aku shay,kehabisan shay ,abaikan,baca,false,baca,false,baca,false,jawab,false
762,"Cari rose,biyan,campina kl yg ada dm ya",cari rose biyan campina dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
763,"Sudh ku dm say, siapa tau minat campina ny @yasminelovehijab yuk siapa tau minat say campina ny @fitrisalsatibie",sut ku dm sayang minat campina ny _mentionteman_ ayo minat sayang campina ny _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
764,"Kia Lipmatte, Gading, Jeans, Olive, Campina, Rouge msh ready ya...bisa langsung booked via Shopee...transfer klo barang sdh ready 😊",kia lipmatte gading jeans olive campina rouge iya _tanda_titik_ langsung dipesan via shopee _tanda_titik_ transfer barang _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
765,"Yg kehabisan warna jeans , rose , lipmatte ready di kami ya .. Kia instant di modifikasi dengan tambahan aplikasi Lace , diamond fancy dan 3D flower makin kece m elegan lho sista yg penasaran cek di @queenaccessories2 ya ..",kehabisan warna jeans rose lipmatte iya _tanda_titik_ kia instan modifikasi tambahan aplikasi lace diamond fancy _angka_ bunga keren m elegan lho kakak perempuan penasaran cek _mentionteman_ iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
766,"Hay..kia instan olive & fuschia ready stok yaa di aku, kirim dari tangsel 😊💋",hay _tanda_titik_ kia instan olive & fuschia persediaan iya kirim tangeran selatan _emot_pos_ _emot_netral_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
767,Yang punya teal info please 😥😥,teal informasi mohon _emot_netral_ _emot_netral_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
768,Restock lgi gk ka? Sold out smua ya?! Hehe,restock kakak _tanda_tanya_ terjual out iya _tanda_tanya_ _tanda_seru_ tertawa ,baca,baca,true,jawab,false,jawab,false,abaikan,false
769,Msh ada kia instan dan bpbow pants M lips freeongkir,kia instan bpbow pants m lips freeongkir ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
770,"Yg punya olive pls dm yaa, jabodetabek only",olive mohon dm iya jabodetabek ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
771,Ready Kia Instan di @rumahijabeeka bs via shopee jg 😊,kia instan _mentionteman_ via shopee _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
772,"@esyabachri KIA Instan Jeans, Rose,  Biyan,  Olive dan Rouge,  80rb aja. Yg minat DM ya. Bisa via Shopee. @yasminelovehijab @fitrisalsatibie", _mentionteman_ kia instan jeans rose biyan olive rouge _angka_ ribu _tanda_titik_ minat dm iya _tanda_titik_ via shopee _tanda_titik_ _mentionteman_ _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
773,Warna bobow pantsna keren ya.sukaaaa😚,warna bobow pantsna keren iya _tanda_titik_ suka _emot_pos_ ,baca,baca,true,baca,true,baca,true,abaikan,false
774,Ko di web tgl 22maret jam 06.00 ya kak😊 @vanillahijab,ko web tanggal _angka_ maret jam _angka_ _tanda_titik_ _angka_ iya kak _emot_pos_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,baca,false
775,Outernya bagus,outernya bagus ,baca,abaikan,false,baca,true,baca,true,abaikan,false
776,"Maaf, boleh tau modelnya pake bobow pants size apa ya?",maaf modelnya pakai bobow pants ukuran iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
777,Mau outernya,outernya ,baca,abaikan,false,baca,true,baca,true,jawab,false
778,Mdah2an pas launching signal nya brsahabat...biar bsa masuk...ga kya kmrn ga bsa akhrnya ga dpt hiks,mudah _angka_ an pas launching signal nya brsahabat _tanda_titik_ biar masuk _tanda_titik_ kya kemarin akhrnya sedih ,abaikan,baca,false,baca,false,baca,false,jawab,false
779,Dippp..,dip _tanda_titik_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
780,@anawidhiclouds ditunggu info selanjutnya ya dear., _mentionteman_ ditunggu informasi iya dear _tanda_titik_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
781,Ada warna apa aja ? @dindavanillahijab,warna _tanda_tanya_ _mentionteman_ ,jawab,jawab,true,abaikan,false,abaikan,false,abaikan,false
782,@amsahamsahamsah warna lengkap di share ke website ditunggu ya dear., _mentionteman_ warna lengkap share website ditunggu iya dear _tanda_titik_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
783,"Yang mau titip order bisa kontak kita langsung ya, fee jasa hijab cuma 7000/pcs *freeongkirviashopee",titip order kontak langsung iya biaya jasa hijab _angka_ pcs * freeongkirviashopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
784,"Halo kak, ini ukuran L/XL nya untuk yang berbadan plus size muat ga ya ? Mohon infonya 😊",hallo kak ukuran l xl nya berbadan plus ukuran muat iya _tanda_tanya_ mohon infonya _emot_pos_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
785,Gk sabr pengeeen 😂😂😂,sabr _emot_pos_ _emot_pos_ _emot_pos_ ,baca,abaikan,false,baca,true,baca,true,baca,true
786,Knpa gak d cantumin price nya,cantumkan harga nya ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
787,@hefangafr size L lingkar pinggang ny muat sampai 104 cm ka 😊, _mentionteman_ ukuran l lingkar pinggang ny muat _angka_ cm kakak _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
788,Outernya cantiq,outernya cantik ,baca,abaikan,false,baca,true,baca,true,baca,true
789,@rika_meca price ny nti ada  pas launching ka 😊, _mentionteman_ harga ny nti pas launching kakak _emot_pos_ ,abaikan,jawab,false,abaikan,true,abaikan,true,abaikan,true
790,@nenkeen_ynoes makasih infonya❤, _mentionteman_ terima kasih infonya\u _angka_ ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
791,Ohh uyaaa kirain udh launching hehe,ohh uya pikir launching tertawa ,abaikan,baca,false,baca,false,baca,false,baca,false
792,Model pake size berapa ya?,model pakai ukuran iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
793,gamis dan jilbab dengan kualitas sangat baik insha Allah.cek ig bund,gamis jilbab kualitas insha allah _tanda_titik_ cek ig bund ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
794,Ini aja si pesenin @sisisyamsiah,si pesankan _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
795,Yg mu nitip order silahkan guys..pengiriman dr bekasi y..,mu menitipkan order silakan teman - teman _tanda_titik_ pengiriman _daerah_ _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
796,"Yuk yang mau titip order bisa merapaat 😘 Free ongkir via shopee, Dropship juga bisa banget 👌 😁",ayo titip order merapaat _emot_pos_ free ongkos kirim via shopee dropship banget _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
797,Yg mau titip order bisa langsung DM ya sist..pengiriman langsung dri Tangsel,titip order langsung dm iya kakak perempuan _tanda_titik_ pengiriman langsung tangeran selatan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
798,"Yang mau titip , pengiriman daei sidoarjo 💕",titip pengiriman daei _daerah_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
799,Yuk yang mau titip bisa di kami. Pengiriman dari bandung. Jastip mulai 10rb/pcs. Bisa via shopee maupun gojek. Dijamin trusted dan selama ini selalu dapat semua titipan 😍 sudah banyak testimoni yah bisa cek #lovelinesstestimoni. Info lebih lanjut cek ig ya gak digembok.  Fix titip langsung dm. No ribet say 😉 @nlh_nunu @rika_meca @hefangafr @nenkeen_ynoes @amsahamsahamsah @jp_furniture @marliatorie,ayo titip _tanda_titik_ pengiriman _daerah_ _tanda_titik_ jasa titip _angka_ ribu pcs _tanda_titik_ via shopee gojek _tanda_titik_ dijamin terpercaya titipan _emot_pos_ testimoni kecewa cek _hashtag_ sstestimoni _tanda_titik_ informasi cek ig iya digembok _tanda_titik_ finya titip langsung dm _tanda_titik_ nomor ribet sayang _emot_pos_ _mentionteman_ _mentionteman_ _mentionteman_ _mentionteman_ _mentionteman_ _mentionteman_ _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
800,@shffamalla @nenkeen_ynoes info detail produk bisa LINE ke @vanillasupport (pakai @) ya dear., _mentionteman_ _mentionteman_ informasi detail produk line _mentionteman_ ( pakai _mentionteman_ iya dear _tanda_titik_ ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
801,"@rika_meca harga sudah diinfokan untuk pants nya dear, cek postingan terbaru ya.", _mentionteman_ harga diinfokan pants nya dear cek postingan terbaru iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
802,@hefangafr info detail produk seperti size bisa LINE ke @vanillasupport (pakai @) ya dear., _mentionteman_ informasi detail produk ukuran line _mentionteman_ ( pakai _mentionteman_ iya dear _tanda_titik_ ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
803,Assalamualaikum. Yg sibuk atau ga sempet order . bisa jastip di aku yuk. Minat langsung dm y mba say. Trimsss..,assalamualaikum _tanda_titik_ sibuk order _tanda_titik_ jasa titip ayo _tanda_titik_ minat langsung dm kakak perempuan sayang _tanda_titik_ terima kasih _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
804,Price?,harga _tanda_tanya_ ,jawab,abaikan,false,jawab,true,jawab,true,jawab,true
805,Harganya berapa yak?,harganya iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
806,Yg mau nitip boleh dm ya,menitipkan dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
807,O n model pake size apaaa? @vanillahijab,o model pakai ukuran _tanda_tanya_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
808,@dindavanillahijab on model pake size apa?, _mentionteman_ on model pakai ukuran _tanda_tanya_ ,jawab,jawab,true,abaikan,false,abaikan,false,abaikan,false
809,siapa yg punya bowbow pants warna grey dan navy? muat xl ga ya?,bowbow pants warna grey navy _tanda_tanya_ muat xl iya _tanda_tanya_ ,abaikan,abaikan,true,jawab,false,jawab,false,jawab,false
810,"Say, itu transfernya tunggu konfirmasi bay email dulu, apa langsung transfer ya?",sayang transfernya tunggu konfirmasi bay email langsung transfer iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
811,Mau outer nya,outer nya ,baca,baca,true,baca,true,baca,true,jawab,false
812,Iam waiting for the outer :3,iam waiting for the outer : _angka_ ,baca,abaikan,false,baca,true,baca,true,jawab,false
813,bowbow pants jeans ada yg pny?,bowbow pants jeans _tanda_tanya_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
814,"Masih ready bowbow pants navy s, minat DM ya say",bowbow pants navy s minat dm iya sayang ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
815,Kak @vanillahijab mw tanya donk.. seingetq aq pesen bobow pants turqoaz ukuran L.. tpi yg dtg M.. klo mw liat history pesenan bisa gak yaa.. barangkali memang aq pesen yg M.. tenkyu..,kak _mentionpemilik_ now watching _tanda_titik_ seingetq pesan bobow pants turqoaz ukuran l _tanda_titik_ m _tanda_titik_ now watching lihat history pesanan iya _tanda_titik_ barangkali pesan m _tanda_titik_ terima kasih _tanda_titik_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
816,"Bisa cek di akun ny mbk say, ada si list orderan ny, buka web, klik masuk, klik di asslamualaikum pilih akun saya, nanti ada list orderan ny say, maaf bantu jwb. @rahmatikacil",cek akun ny kakak perempuan sayang si list pesanan ny buka web klik masuk klik asslamualaikum pilih akun list pesanan ny sayang maaf bantu _tanda_titik_ _mentionteman_ ,baca,baca,true,baca,true,baca,true,jawab,false
817,Makasih infonya @mamah.raisar,terima kasih infonya _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
818,Sama2 mbk say @rahmatikacil,_angka_ kakak perempuan sayang _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
819,Cara beli ya gimna?,beli iya _tanda_tanya_ ,jawab,abaikan,false,jawab,true,jawab,true,jawab,true
820,😃😃😃😃😃😃😃, _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
821,Must have item. Thank u @vanillahijab membuat kita InshaAllah lebih baik dalam berhijab,have hitam _tanda_titik_ thang _mentionpemilik_ insyaallah berhijab ,baca,baca,true,baca,true,baca,true,jawab,false
822,😍😍😍, _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
823,@aidarahayu03 lewat website kaa || yg g sempat order bs langsung chaat dear, _mentionteman_ website kaa || g order langsung chaat dear ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
824,Wowww gk sabar nunggu launching,wow sabar menunggu launching ,baca,baca,true,baca,true,baca,true,baca,true
825,@itasahrie, _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
826,Yang mau titip order Dm yaaaa,titip order dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
827,"Assalammualaikum sis...yg msh berminat SALA instan ready (nwt) smua warna kcuali black, rose, cloudy. Line: caferegal",assalammualaikum kakak perempuan _tanda_titik_ berminat sala instan ( nwt ) warna kecuali black rose cloudy _tanda_titik_ line : caferegal ,abaikan,jawab,false,baca,false,baca,false,baca,false
828,"Nggak sabar nunggu, tpi klo launching jam 6, itu jam sibuk ibu2 msak buat srapan.. sering klewatan hiks hiks",sabar menunggu launching jam _angka_ jam sibuk ibu _angka_ msak srapan _tanda_titik_ terlewat sedih sedih ,baca,jawab,false,jawab,false,jawab,false,baca,true
829,"@aidarahayu03 order hanya via website vanillahijab.com saat open order,  registrasi dan cek @carabelanjavanilla ya dear.", _mentionteman_ order via website vanillahijab _tanda_titik_ com open order pendaftaran cek _mentionteman_ iya dear _tanda_titik_ ,baca,abaikan,false,baca,true,baca,true,abaikan,false
